feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
ko03008	Group	Har__ar Transplant	-0.00121867621812571	0.00046176423686751	50	50	0.011451774545109	0.0555237553702257
ko00592	Group	Harvard BRI	-0.0021783833814164	0.000828533787959885	50	50	0.0117450614934454	0.0566595931342092
ko00906	Group	Jackson Labs	0.00449652901982739	0.00172524192924032	50	50	0.0124444068163429	0.0597331527184462
ko00280	Group	Harvard BRI	-0.0027491756093821	0.00105691068454113	50	50	0.0126077540627417	0.0602161388071246
ko05222	Group	Jackson Labs	-0.00342386313931554	0.0013272673147855	50	50	0.0133079129819082	0.0609314559265166
ko05416	Group	Jackson Labs	-0.00342386313931554	0.0013272673147855	50	50	0.0133079129819082	0.0609314559265166
ko00253	Group	Har__ar Transplant	0.00448057049323369	0.00173768674976214	50	50	0.0133468302798484	0.0609314559265166
ko05215	Group	Har__ar Transplant	0.00219021335651612	0.000849870743865883	50	50	0.0133922262505156	0.0609314559265166
ko05210	Group	Jackson Labs	-0.00342386313931554	0.0013272673147855	50	50	0.0133079129819082	0.0609314559265166
ko04115	Group	Jackson Labs	-0.00342386313931554	0.0013272673147855	50	50	0.0133079129819082	0.0609314559265166
ko04914	Group	Har__ar Transplant	0.00219021335651612	0.000849870743865883	50	50	0.0133922262505156	0.0609314559265166
ko05145	Group	Jackson Labs	-0.00342386313931554	0.0013272673147855	50	50	0.0133079129819082	0.0609314559265166
ko00340	Group	Jackson Labs	0.00695264020535646	0.00268686923813082	50	50	0.0130433595829285	0.0609314559265166
ko04612	Group	Har__ar Transplant	0.00219021335651612	0.000849870743865883	50	50	0.0133922262505156	0.0609314559265166
ko00300	Group	Broad Institute	-0.00155009455627788	0.000604681285355225	50	50	0.013856551540459	0.0618711138550728
ko00280	Group	Broad Institute	-0.00271034685818119	0.00105691068454113	50	50	0.0138249240916933	0.0618711138550728
ko00601	Group	Jackson Labs	-0.00311402247650879	0.00121432688184691	50	37	0.0138250161880941	0.0618711138550728
ko04614	Group	Brd__ar Transplant	0.000155402809410986	6.05592696406946e-05	50	9	0.0137655313685302	0.0618711138550728
ko00621	Group	Harvard BRI	-0.00405610064311539	0.00158492285461511	50	50	0.014006539651926	0.0622512873418934
ko00010	Group	Jackson Labs	-0.00789090711848974	0.00309137042432715	50	50	0.0142396814553349	0.0628208820934705
ko00513	Group	Harvard BRI	0.00243574879683088	0.000954510407908719	50	49	0.0142655753087256	0.0628208820934705
ko01051	Group	Jackson Labs	0.00522348145050237	0.00205331516568834	50	50	0.0145491076405349	0.0637769102050847
ko03320	Group	Brd__ar Transplant	-0.00443273395848455	0.00174437110982341	50	50	0.014649356838914	0.0639244662061701
ko00300	Group	Harvard BRI	-0.00153225670144606	0.000604681285355225	50	50	0.0149127555228391	0.0647793905064502
ko00900	Group	Harvard BRI	-0.00162027112619006	0.00064090766299453	50	50	0.0151326963997188	0.0654386871339192
ko00970	Group	Jackson Labs	-0.00426031172721534	0.0016890055511412	50	50	0.0153482564852269	0.0660732117749677
ko05146	Group	Har__ar Transplant	0.00323841510883474	0.00129065365538068	50	50	0.0158593506566203	0.0673671532316615
ko00340	Group	Brd__ar Transplant	-0.00645907181538814	0.00257248144358307	50	50	0.0157927196598283	0.0673671532316615
ko00140	Group	Jackson Labs	0.00385678120935722	0.00153618589880303	50	50	0.0158009810379672	0.0673671532316615
ko05142	Group	Brd__ar Transplant	-0.00159778739762332	0.000639260248810826	50	50	0.016243090726714	0.0686932471261913
ko00311	Group	Brd__ar Transplant	0.00465553515936906	0.00186413982683135	50	50	0.0163238670818166	0.0687320719234384
ko00460	Group	Har__ar Transplant	-0.0040409689708439	0.00162187097922162	50	50	0.016561315427654	0.0694273485176761
ko05211	Group	Harvard BRI	-0.0030947582661559	0.00124343505932126	50	50	0.0166703475125308	0.0695805809218677
ko00625	Group	Brd__ar Transplant	0.00551421752859792	0.00223431908583632	50	50	0.0175473417461154	0.0729240176461939
ko04626	Group	Jackson Labs	0.00504225673207984	0.00204543064118466	50	50	0.0176692213012276	0.0731140191774935
ko00621	Group	Har__ar Transplant	-0.00453639263280229	0.00184211213176262	50	50	0.0177787019848534	0.0732133886843179
ko00642	Group	Har__ar Transplant	0.00417581225314488	0.00169675192844481	50	50	0.0178457634918025	0.0732133886843179
ko00071	Group	Har__ar Transplant	-0.00315603492645948	0.00128422272101999	50	50	0.0179996341434526	0.0732188507530276
ko00072	Group	Harvard BRI	-0.00344176098778039	0.00140008412084614	50	50	0.017968560002374	0.0732188507530276
ko00550	Group	Har__ar Transplant	-0.00253102525843694	0.00103121751699733	50	50	0.0181380065211556	0.073470406161643
ko00051	Group	Brd__ar Transplant	0.00628430982978309	0.00256283353752587	50	50	0.0182404348644286	0.0735748633187034
ko04146	Group	Harvard BRI	0.00386058924051664	0.00158144822457273	50	50	0.0187317280532718	0.0746160121624106
ko03013	Group	Harvard BRI	0.00122439690976902	0.000500908994128043	50	50	0.0185876020906723	0.0746160121624106
